record_id,timestamp,shc_code,origin_destination,dg_class,packaging_type,handling_error_count,previous_incident_count,cargo_weight_kg,temperature_celsius,humidity_percentage,weather_condition,safety_staff_count,shipper_id,doc_audit_result,incident_flag
DG_000026,2025-09-28 15:13:21,RCL,DXB-JED,2.1,Plastic,6,2,8234.68,40.71,19.9,Clear,33,SHIP_0251,0,0
DG_000027,2025-08-10 22:12:29,MAG,MAA-JED,5,Metal,3,3,15082.56,25.01,11.04,Fog,19,SHIP_0189,0,0
DG_000028,2025-05-25 14:39:19,MAG,HAM-JED,4,Metal,6,0,4148.74,31.64,29.51,Storm,34,SHIP_0264,0,0
DG_000029,2025-08-22 10:55:54,CAO,MAA-JED,9,Plastic,3,1,10532.76,23.92,84.87,Rain,8,SHIP_0328,0,0
DG_000030,2025-10-15 20:21:15,RCL,HAM-JED,8,IBC,3,1,4411.86,8.73,7.39,Clear,36,SHIP_0007,0,0
DG_000031,2025-06-17 00:55:31,ICE,MXP-JED,3,Metal,4,0,13159.08,12.37,90.36,Fog,24,SHIP_0222,0,0
DG_000032,2025-03-03 12:34:22,ICE,JFK-JED,8,Plastic,1,1,19328.88,10.83,17.54,Storm,4,SHIP_0040,0,1
DG_000033,2025-05-02 00:07:57,RCL,MXP-JED,1,IBC,3,1,27503.59,8.67,5.99,Clear,31,SHIP_0153,1,0
DG_000034,2025-11-27 03:07:50,MAG,DXB-JED,3,Fiber,6,3,24707.95,29.5,80.34,Clear,36,SHIP_0181,0,0
DG_000035,2025-08-12 03:03:06,MAG,MAA-JED,3,IBC,2,3,6183.78,35.34,81.18,Extreme Heat,43,SHIP_0239,0,1
DG_000036,2025-07-11 03:21:52,RFL,DXB-JED,3,Plastic,3,4,21570.62,33.99,58.12,Clear,44,SHIP_0229,0,1
DG_000037,2025-06-16 21:56:55,RCL,DXB-JED,3,Metal,8,2,40291.19,48.77,8.55,Fog,7,SHIP_0143,1,0
DG_000038,2025-04-30 09:10:26,ELM,JFK-JED,1,Fiber,9,3,7791.88,5.06,11.93,Fog,40,SHIP_0159,0,1
DG_000039,2025-05-23 14:52:10,MAG,HAM-JED,4,CTMV,5,1,2225.43,36.74,52.6,Extreme Heat,35,SHIP_0170,0,0
DG_000040,2025-07-09 17:17:18,RFL,AMS-JED,3,Plastic,7,5,10935.51,12.06,31.67,Clear,25,SHIP_0003,0,0
DG_000041,2025-04-09 16:40:07,RFL,AMS-JED,3,Metal,10,3,27924.01,9.68,79.76,Clear,43,SHIP_0072,0,1
DG_000042,2025-04-06 00:27:14,CAO,OSL-JED,8,CTMV,5,1,21621.49,-10.84,78.42,Clear,47,SHIP_0178,0,1
DG_000043,2025-07-26 13:10:44,ICE,DXB-JED,3,Metal,2,0,10267.23,48.49,71.17,Clear,15,SHIP_0170,0,0
DG_000044,2025-04-07 13:27:43,RFL,MAA-JED,2.1,Metal,4,2,27245.46,14.61,66.02,Rain,45,SHIP_0349,0,0
DG_000045,2025-07-18 09:55:49,ICE,AMS-JED,2.1,Metal,3,9,6819.12,37.03,91.52,Clear,31,SHIP_0155,1,0
DG_000046,2025-07-12 13:53:58,ELI,JFK-JED,2.1,CTMV,2,0,18755.66,41.21,61.86,Clear,24,SHIP_0224,0,0
DG_000047,2025-10-21 11:08:04,CAO,JFK-JED,4,IBC,5,7,9547.67,29.74,11.06,Rain,1,SHIP_0242,0,0
DG_000048,2025-06-11 17:30:47,ICE,FRA-JED,5,Fiber,3,2,13436.3,11.49,94.74,Clear,13,SHIP_0058,1,0
DG_000049,2025-03-17 20:59:14,ICE,FRA-JED,8,CTMV,4,2,12699.38,26.82,40.78,Clear,3,SHIP_0021,0,0
DG_000050,2025-08-26 10:09:00,RCL,MAA-JED,2.2,Metal,5,0,24958.07,32.38,81.03,Fog,3,SHIP_0145,0,0
DG_000051,2025-09-25 06:00:29,ICE,OSL-JED,2.1,Plastic,0,6,21222.83,-3.38,23.05,Clear,22,SHIP_0273,0,0
DG_000052,2025-04-18 11:27:50,RCL,AMS-JED,1,Metal,6,2,14437.79,4.41,26.78,Extreme Heat,32,SHIP_0392,0,0
DG_000053,2025-07-26 00:11:46,CAO,AMS-JED,4,Metal,2,4,11019.52,13.53,92.97,Clear,50,SHIP_0077,1,0
DG_000054,2025-03-31 14:28:15,RCL,HAM-JED,5,Fiber,2,1,34206.15,39.79,61.28,Fog,47,SHIP_0041,0,0
DG_000055,2025-10-01 09:23:29,ICE,FRA-JED,4,CTMV,2,2,22756.76,24.92,63.53,Clear,19,SHIP_0014,1,0
DG_000056,2025-06-22 20:37:10,CAO,JFK-JED,3,Metal,1,1,10351.79,22.78,49.39,Clear,35,SHIP_0211,0,0
DG_000057,2025-10-31 03:20:51,CAO,JFK-JED,3,CTMV,6,2,17476.53,18.42,70.27,Clear,2,SHIP_0177,0,0
DG_000058,2025-10-27 05:01:18,MAG,OSL-JED,4,IBC,4,4,32210.96,-10.15,26.38,Extreme Heat,37,SHIP_0008,1,1
DG_000059,2025-07-19 10:40:57,CAO,HAM-JED,4,Fiber,3,0,1467.49,24.71,58.88,Clear,23,SHIP_0163,0,0
DG_000060,2025-10-11 05:18:43,RFL,DXB-JED,3,Metal,3,3,23229.63,42.6,47.72,Storm,44,SHIP_0121,0,0
DG_000061,2025-05-14 16:15:34,MAG,FRA-JED,2.2,Metal,3,5,34096.21,13.28,50.65,Clear,42,SHIP_0198,0,0
DG_000062,2025-11-29 15:05:07,RCL,MAA-JED,2.2,IBC,4,9,9724.77,29.6,23.17,Rain,50,SHIP_0151,0,1
DG_000063,2025-03-28 00:18:03,CAO,PVG-JED,9,Metal,8,0,21373.09,28.41,24.41,Rain,48,SHIP_0328,0,0
DG_000064,2025-03-18 19:06:51,MAG,MAA-JED,4,Plastic,4,1,12268.43,13.74,65.08,Storm,18,SHIP_0324,1,0
DG_000065,2025-11-12 19:25:15,ICE,AMS-JED,2.1,Plastic,0,0,11249.41,16.64,67.59,Clear,25,SHIP_0143,0,0
DG_000066,2025-05-28 12:09:57,ELM,PVG-JED,2.1,Fiber,6,5,10584.36,15.97,40.89,Rain,44,SHIP_0117,0,0
DG_000067,2025-06-21 09:17:28,MAG,MAA-JED,6,Plastic,5,10,7006.36,20.13,22.51,Clear,4,SHIP_0051,0,0
DG_000068,2025-03-31 23:42:54,ELI,OSL-JED,4,Metal,5,2,26026.5,-10.02,31.58,Fog,42,SHIP_0108,1,1
DG_000069,2025-05-30 09:46:05,RFL,PVG-JED,4,Metal,6,2,11098.22,38.05,74.3,Rain,27,SHIP_0010,0,0
DG_000070,2025-04-09 05:24:05,ICE,JFK-JED,5,Metal,5,5,4664.84,0.99,62.78,Rain,32,SHIP_0119,0,0
DG_000071,2025-07-26 15:01:59,MAG,DXB-JED,3,IBC,3,0,21484.05,49.81,16.56,Clear,26,SHIP_0167,0,0
DG_000072,2025-06-16 22:54:06,RCL,FRA-JED,2.1,CTMV,2,0,15593.7,2.84,77.03,Clear,21,SHIP_0196,0,0
DG_000073,2025-08-24 02:05:25,RCL,OSL-JED,2.1,Metal,5,5,6492.79,3.63,23.08,Rain,30,SHIP_0036,0,0
DG_000074,2025-11-02 21:00:30,ELI,HAM-JED,8,IBC,2,3,33543.46,22.68,80.78,Rain,6,SHIP_0005,0,0
DG_000075,2025-07-20 16:28:56,ICE,MXP-JED,8,CTMV,2,5,11081.35,3.68,89.33,Rain,11,SHIP_0114,1,0
DG_000076,2025-05-03 04:02:45,ICE,MAA-JED,3,IBC,5,0,11628.77,36.87,83.13,Storm,16,SHIP_0082,0,0
DG_000077,2025-07-22 18:20:12,ELI,OSL-JED,2.1,Fiber,7,3,24436.15,-10.28,50.23,Clear,25,SHIP_0110,0,0
DG_000078,2025-07-16 23:21:46,ELM,FRA-JED,2.1,IBC,5,2,19587.52,9.07,60.76,Rain,19,SHIP_0316,0,0
DG_000079,2025-05-21 08:44:49,CAO,DXB-JED,1,IBC,3,0,5253.93,34.67,14.09,Fog,33,SHIP_0099,0,0
DG_000080,2025-11-16 06:29:07,ICE,JFK-JED,2.2,Metal,7,2,23114.81,32.31,5.99,Clear,27,SHIP_0014,0,1
DG_000081,2025-06-12 16:24:49,MAG,JFK-JED,2.1,Plastic,1,8,38413.73,33.66,91.36,Clear,35,SHIP_0242,0,1
DG_000082,2025-11-28 13:26:21,ELM,JFK-JED,2.1,Metal,8,1,20227.61,39.6,77.8,Clear,33,SHIP_0192,1,0
DG_000083,2025-11-21 11:07:33,ICE,MXP-JED,8,Plastic,4,2,4899.44,41.51,44.89,Clear,8,SHIP_0173,0,0
DG_000084,2025-11-07 16:07:39,RFL,HAM-JED,2.1,Metal,8,1,27544.37,2.89,43.19,Clear,48,SHIP_0261,1,0
DG_000085,2025-03-28 17:31:10,RCL,DXB-JED,9,Fiber,0,1,8541.29,29.52,91.38,Clear,50,SHIP_0292,0,0
DG_000086,2025-10-23 13:30:44,ELM,MAA-JED,4,Fiber,4,4,11401.73,18.15,44.55,Rain,22,SHIP_0183,0,0
DG_000087,2025-11-02 14:25:35,RCL,OSL-JED,9,Fiber,7,1,22905.35,5.96,64.05,Clear,22,SHIP_0392,0,0
DG_000088,2025-05-06 11:07:40,MAG,MAA-JED,2.1,Fiber,3,8,12524.21,31.84,71.91,Rain,19,SHIP_0044,0,0
DG_000089,2025-09-24 10:32:40,MAG,DXB-JED,8,Metal,1,3,22822.94,49.82,13.93,Clear,42,SHIP_0129,0,0
DG_000090,2025-06-04 01:48:11,RCL,JFK-JED,5,Fiber,6,2,24169.74,28.49,73.06,Storm,6,SHIP_0121,1,0
DG_000091,2025-05-03 11:01:17,ELI,FRA-JED,6,CTMV,4,1,10958.5,33.36,13.37,Rain,4,SHIP_0038,0,0
DG_000092,2025-08-27 12:34:38,RFL,JFK-JED,6,Metal,3,6,5883.53,29.21,72.13,Extreme Heat,31,SHIP_0305,1,0
DG_000093,2025-07-26 08:46:51,ELI,JFK-JED,6,Metal,3,3,9509.15,7.29,62.38,Clear,47,SHIP_0313,0,0
DG_000094,2025-06-13 20:05:45,ICE,JFK-JED,4,Fiber,3,9,27604.35,11.47,51.63,Clear,19,SHIP_0113,0,0
DG_000095,2025-11-04 13:13:48,ICE,MXP-JED,3,Plastic,5,1,1300.61,2.41,25.27,Clear,31,SHIP_0280,1,1
DG_000096,2025-11-23 06:08:03,RFL,HAM-JED,1,Metal,3,3,24200.92,18.89,74.9,Clear,45,SHIP_0336,1,0
DG_000097,2025-10-03 07:08:52,MAG,DXB-JED,3,Plastic,2,3,36887.24,40.32,89.31,Clear,44,SHIP_0160,0,0
DG_000098,2025-05-25 06:57:42,ELM,MXP-JED,2.2,Fiber,5,1,22562.85,17.56,13.0,Fog,33,SHIP_0161,0,0
DG_000099,2025-11-21 21:04:02,ICE,DXB-JED,8,Plastic,4,3,7457.1,30.15,82.58,Clear,39,SHIP_0022,0,0
DG_000100,2025-07-04 22:32:02,ELM,OSL-JED,1,CTMV,2,3,24086.83,-0.98,23.44,Storm,22,SHIP_0383,0,0
DG_000101,2025-03-22 17:22:46,ICE,HAM-JED,9,CTMV,1,2,32224.16,22.63,49.8,Clear,23,SHIP_0254,1,0
DG_000102,2025-05-28 22:52:57,RCL,OSL-JED,2.1,Metal,3,2,19652.99,-9.71,85.73,Rain,20,SHIP_0072,0,0
DG_000103,2025-03-13 11:11:45,MAG,OSL-JED,9,Metal,2,5,23074.63,7.15,33.18,Fog,46,SHIP_0008,0,1
DG_000104,2025-07-01 12:14:07,ICE,JFK-JED,9,Plastic,6,0,16865.34,22.15,69.74,Storm,5,SHIP_0283,1,1
DG_000105,2025-08-03 19:07:36,CAO,PVG-JED,4,Fiber,5,3,10426.95,7.3,69.08,Storm,33,SHIP_0131,0,0
DG_000106,2025-06-12 23:31:33,ELI,MAA-JED,6,Fiber,6,2,10165.2,28.83,11.27,Clear,9,SHIP_0272,0,1
DG_000107,2025-03-26 16:55:21,RFL,OSL-JED,6,Plastic,2,5,20027.75,10.33,83.41,Fog,35,SHIP_0117,0,1
DG_000108,2025-05-21 22:30:09,MAG,PVG-JED,5,Fiber,4,6,38541.44,4.65,43.03,Clear,24,SHIP_0035,0,1
DG_000109,2025-10-07 06:30:04,CAO,DXB-JED,2.2,IBC,2,1,22831.43,34.7,79.65,Clear,47,SHIP_0327,0,0
DG_000110,2025-07-01 05:00:37,CAO,FRA-JED,2.1,Metal,0,3,9555.32,25.13,31.75,Clear,30,SHIP_0376,0,0
DG_000111,2025-05-22 13:49:22,ICE,MAA-JED,5,Fiber,2,0,9152.43,18.03,29.1,Fog,21,SHIP_0062,0,0
DG_000112,2025-11-10 13:07:52,ICE,OSL-JED,3,Fiber,1,4,3843.81,10.81,7.26,Fog,40,SHIP_0035,0,0
DG_000113,2025-09-10 21:10:21,RCL,DXB-JED,3,Metal,6,1,25418.81,49.36,28.64,Clear,27,SHIP_0260,0,0
DG_000114,2025-08-01 15:33:23,MAG,PVG-JED,9,Metal,3,0,13566.52,19.86,61.03,Clear,48,SHIP_0362,0,0
DG_000115,2025-11-05 15:48:49,ELM,PVG-JED,9,Metal,5,2,3192.67,11.67,78.5,Clear,17,SHIP_0106,0,0
DG_000116,2025-08-26 04:48:33,ELM,DXB-JED,1,Fiber,3,3,22961.14,47.41,65.38,Clear,48,SHIP_0168,0,0
DG_000117,2025-04-25 11:39:35,ICE,MXP-JED,1,Fiber,1,1,18309.63,28.84,15.3,Clear,36,SHIP_0215,0,0
DG_000118,2025-06-11 20:51:43,ELI,FRA-JED,9,Plastic,7,9,5126.4,6.48,20.47,Rain,2,SHIP_0051,0,1
DG_000119,2025-04-24 05:26:56,ICE,MAA-JED,1,Plastic,3,1,16829.79,14.41,70.63,Rain,28,SHIP_0213,0,0
DG_000120,2025-06-04 18:44:05,ELI,JFK-JED,4,CTMV,4,2,4740.38,37.37,6.11,Clear,36,SHIP_0041,0,0
DG_000121,2025-10-05 00:19:48,ELM,MXP-JED,5,Metal,5,2,9808.65,28.44,59.52,Clear,12,SHIP_0126,0,0
DG_000122,2025-09-26 07:37:56,CAO,MAA-JED,3,Metal,3,3,12544.52,16.61,33.19,Clear,30,SHIP_0363,0,0
DG_000123,2025-06-11 00:55:45,ELI,MXP-JED,3,Plastic,4,3,10561.88,22.74,18.87,Rain,34,SHIP_0109,0,0
DG_000124,2025-10-14 00:44:10,ICE,OSL-JED,2.2,Metal,1,3,7913.57,7.43,54.03,Clear,24,SHIP_0383,1,0
DG_000125,2025-08-14 09:17:33,ICE,FRA-JED,3,IBC,5,0,14292.21,22.81,25.5,Extreme Heat,34,SHIP_0284,0,0
DG_000126,2025-10-13 14:55:15,ICE,MXP-JED,6,Plastic,3,4,35434.63,21.54,13.43,Fog,6,SHIP_0070,0,0
DG_000127,2025-08-03 02:40:57,CAO,AMS-JED,4,Plastic,7,3,26351.88,20.01,94.65,Clear,45,SHIP_0239,0,1
DG_000128,2025-07-19 14:03:05,ICE,OSL-JED,2.2,Metal,2,1,14330.22,3.57,70.04,Fog,42,SHIP_0208,0,0
DG_000129,2025-05-25 04:13:03,ICE,DXB-JED,2.2,Metal,1,1,20894.5,46.23,31.52,Clear,1,SHIP_0019,0,0
DG_000130,2025-04-23 17:20:43,RFL,HAM-JED,9,CTMV,5,4,12350.0,2.77,36.39,Clear,13,SHIP_0384,1,0
DG_000131,2025-09-14 21:07:45,ICE,PVG-JED,2.2,Metal,3,4,29328.2,16.85,31.33,Clear,27,SHIP_0013,0,0
DG_000132,2025-09-08 15:54:03,ICE,AMS-JED,5,IBC,3,6,13666.26,34.5,54.92,Rain,50,SHIP_0337,0,1
DG_000133,2025-04-05 07:20:13,ICE,HAM-JED,2.2,Fiber,4,1,27199.8,30.31,29.44,Clear,31,SHIP_0290,0,0
DG_000134,2025-03-19 07:09:23,RCL,PVG-JED,6,Metal,1,7,23416.34,13.28,14.17,Clear,19,SHIP_0325,0,0
DG_000135,2025-04-12 14:00:14,MAG,MAA-JED,9,Plastic,5,2,28265.58,28.39,17.52,Clear,43,SHIP_0316,0,0
DG_000136,2025-04-29 08:35:03,RCL,AMS-JED,5,IBC,4,2,15028.7,18.17,46.19,Clear,14,SHIP_0304,0,0
DG_000137,2025-10-30 16:13:15,ICE,MAA-JED,4,Plastic,7,3,33846.15,5.28,71.34,Extreme Heat,44,SHIP_0393,0,0
DG_000138,2025-05-02 03:08:25,CAO,FRA-JED,2.1,Metal,5,5,32354.9,35.21,68.84,Extreme Heat,35,SHIP_0013,0,1
DG_000139,2025-11-20 06:32:40,MAG,PVG-JED,2.2,Fiber,2,3,13694.16,11.22,24.78,Clear,12,SHIP_0321,0,0
DG_000140,2025-08-11 22:48:57,RCL,DXB-JED,2.1,Metal,0,0,23338.28,32.91,62.77,Rain,16,SHIP_0153,0,0
DG_000141,2025-10-18 14:56:06,ICE,OSL-JED,1,CTMV,5,1,18292.67,-2.22,10.37,Rain,4,SHIP_0157,1,0
DG_000142,2025-03-25 16:07:16,RCL,FRA-JED,4,IBC,2,2,31330.44,35.58,33.36,Clear,13,SHIP_0199,0,0
DG_000143,2025-07-28 10:17:28,ELI,AMS-JED,3,IBC,4,5,1370.9,26.5,45.29,Clear,50,SHIP_0241,0,0
DG_000144,2025-07-27 04:56:58,ELI,MXP-JED,9,Fiber,5,0,14462.11,37.7,65.69,Clear,11,SHIP_0006,0,0
DG_000145,2025-10-18 10:04:57,CAO,PVG-JED,2.1,Fiber,5,6,6511.3,8.99,6.17,Clear,44,SHIP_0274,0,1
DG_000146,2025-08-29 18:32:28,ICE,MXP-JED,9,IBC,5,3,36537.24,32.07,81.97,Rain,37,SHIP_0081,0,0
DG_000147,2025-09-22 11:42:11,ICE,MXP-JED,2.2,Plastic,4,0,363.88,37.86,18.84,Extreme Heat,34,SHIP_0364,1,0
DG_000148,2025-06-06 15:20:57,RCL,AMS-JED,5,Metal,1,6,8908.94,26.13,94.32,Clear,27,SHIP_0359,0,1
DG_000149,2025-10-01 20:26:20,ICE,FRA-JED,2.1,Plastic,1,0,6490.89,36.4,30.42,Extreme Heat,5,SHIP_0378,0,0
DG_000150,2025-03-05 11:00:39,ELM,OSL-JED,2.2,Plastic,7,3,6746.53,-6.05,81.95,Clear,27,SHIP_0221,0,0
DG_000151,2025-11-20 04:42:03,ELM,OSL-JED,2.1,CTMV,3,2,15489.93,-2.49,9.09,Clear,45,SHIP_0004,0,0
DG_000152,2025-04-14 11:41:58,RCL,DXB-JED,4,Metal,3,0,13197.37,47.42,9.67,Clear,12,SHIP_0085,0,0
DG_000153,2025-11-20 18:00:04,RCL,MXP-JED,8,Fiber,4,6,12312.7,9.26,73.62,Rain,8,SHIP_0379,0,0
DG_000154,2025-09-25 12:55:34,MAG,MAA-JED,8,Fiber,2,3,9436.18,30.01,73.31,Clear,1,SHIP_0324,0,0
DG_000155,2025-06-12 14:59:27,ICE,HAM-JED,2.1,Metal,2,2,28603.29,14.47,7.78,Clear,9,SHIP_0378,0,0
DG_000156,2025-11-04 22:11:49,ICE,OSL-JED,2.1,CTMV,5,4,11729.45,-14.32,80.51,Clear,33,SHIP_0352,1,0
DG_000157,2025-07-11 02:39:54,CAO,OSL-JED,6,Plastic,4,3,22339.69,10.72,25.41,Storm,25,SHIP_0240,0,0
DG_000158,2025-04-13 07:44:29,CAO,HAM-JED,8,Plastic,3,2,1694.66,28.31,9.67,Rain,11,SHIP_0083,0,0
DG_000159,2025-06-22 23:37:10,ICE,MXP-JED,6,Plastic,2,4,21218.24,13.96,10.09,Clear,4,SHIP_0368,1,1
DG_000160,2025-08-16 20:18:21,RCL,JFK-JED,2.1,Plastic,3,0,39058.87,2.84,51.68,Clear,6,SHIP_0202,0,1
DG_000161,2025-05-01 10:08:13,MAG,MAA-JED,6,Plastic,3,2,8734.64,12.07,64.11,Extreme Heat,43,SHIP_0345,0,0
DG_000162,2025-08-24 05:00:41,ICE,FRA-JED,2.2,Metal,4,1,8299.94,28.39,68.6,Rain,41,SHIP_0323,0,0
DG_000163,2025-03-02 06:14:54,RFL,FRA-JED,9,Metal,5,1,21017.53,17.14,6.39,Rain,49,SHIP_0098,0,1
DG_000164,2025-06-11 06:57:49,CAO,DXB-JED,8,Metal,3,2,4589.76,44.46,87.31,Clear,15,SHIP_0054,0,0
DG_000165,2025-09-11 09:48:02,ELM,OSL-JED,4,Fiber,3,0,30157.2,4.95,6.24,Clear,46,SHIP_0369,0,0
DG_000166,2025-05-09 09:09:22,RFL,MAA-JED,6,Fiber,7,2,18750.75,31.2,71.41,Rain,46,SHIP_0174,0,0
DG_000167,2025-09-14 03:56:10,MAG,DXB-JED,3,CTMV,4,2,19486.12,46.34,49.95,Rain,43,SHIP_0058,1,0
DG_000168,2025-04-11 07:49:14,ICE,PVG-JED,8,Fiber,4,0,24420.02,17.21,63.97,Clear,38,SHIP_0207,0,0
DG_000169,2025-10-29 20:13:12,RCL,MXP-JED,6,Fiber,3,7,13362.44,23.24,27.94,Fog,24,SHIP_0140,0,0
DG_000170,2025-06-24 21:42:25,ICE,MXP-JED,2.2,Plastic,4,2,10784.57,21.91,76.5,Storm,12,SHIP_0109,1,1
DG_000171,2025-11-04 03:26:27,ELM,PVG-JED,2.2,Plastic,5,1,15988.56,33.16,31.71,Rain,30,SHIP_0085,0,0
DG_000172,2025-09-14 03:45:39,ICE,OSL-JED,2.2,Plastic,2,10,7893.37,-9.07,91.39,Rain,9,SHIP_0246,0,0
DG_000173,2025-10-23 12:00:49,MAG,HAM-JED,6,Metal,5,3,34034.73,18.44,93.24,Rain,13,SHIP_0245,0,0
DG_000174,2025-05-17 05:59:09,CAO,AMS-JED,9,CTMV,7,3,21669.79,31.61,46.85,Storm,41,SHIP_0310,0,0
DG_000175,2025-04-29 08:33:54,RCL,OSL-JED,8,Plastic,1,0,26205.34,9.35,23.31,Clear,22,SHIP_0030,0,0
DG_000176,2025-07-24 05:07:46,RCL,FRA-JED,5,Metal,6,1,11411.53,2.89,38.26,Clear,11,SHIP_0182,0,0
DG_000177,2025-05-02 17:44:46,RFL,MAA-JED,5,Plastic,0,1,24788.9,23.03,10.98,Fog,37,SHIP_0124,0,0
DG_000178,2025-09-26 11:22:36,RCL,FRA-JED,2.1,Fiber,3,6,23797.64,38.15,73.28,Rain,26,SHIP_0220,1,1
DG_000179,2025-09-22 23:15:16,MAG,PVG-JED,3,Fiber,7,3,13378.15,18.93,91.26,Clear,38,SHIP_0178,0,0
DG_000180,2025-03-01 05:19:49,RCL,AMS-JED,3,CTMV,4,3,13884.38,41.3,75.8,Fog,20,SHIP_0207,0,0
DG_000181,2025-10-19 14:34:05,RFL,PVG-JED,1,CTMV,2,3,10111.65,37.71,84.93,Clear,29,SHIP_0178,0,0
DG_000182,2025-07-04 21:21:12,RFL,HAM-JED,2.2,Fiber,1,3,10204.85,31.42,77.6,Storm,45,SHIP_0276,0,0
DG_000183,2025-09-06 18:08:07,ELI,AMS-JED,9,CTMV,2,0,7840.46,0.6,73.79,Rain,32,SHIP_0304,0,0
DG_000184,2025-03-08 13:32:11,ELM,OSL-JED,9,Plastic,2,2,23089.74,3.26,17.46,Rain,48,SHIP_0029,0,0
DG_000185,2025-04-13 10:40:57,ICE,JFK-JED,5,Fiber,8,10,29342.01,4.62,88.25,Rain,23,SHIP_0155,0,0
DG_000186,2025-07-19 23:13:33,MAG,PVG-JED,2.1,Fiber,6,0,18509.17,29.38,80.43,Storm,30,SHIP_0112,1,0
DG_000187,2025-06-28 10:14:21,ICE,MAA-JED,4,Metal,4,5,12799.95,3.55,59.62,Storm,16,SHIP_0008,0,0
DG_000188,2025-06-01 23:51:26,ELM,HAM-JED,2.1,Fiber,3,0,18951.77,40.88,46.85,Storm,30,SHIP_0234,0,0
DG_000189,2025-03-23 11:54:06,ELM,AMS-JED,5,CTMV,4,3,3555.3,39.58,11.73,Clear,20,SHIP_0251,1,1
DG_000190,2025-06-02 13:05:09,ICE,HAM-JED,1,Metal,3,4,10953.93,28.31,10.63,Clear,22,SHIP_0138,1,0
