record_id,timestamp,airline,SHC,origin,destination,packaging_condition,packaging_seal_status,shipper_company_name,consignee_name,shipper_type,documentation_status,security_screening_status,xray_scan_result,shipment_priority,weather_condition,cargo_weight_kg,damage_history_count,compliance_violation_count,inspection_duration_minutes,shipper_reliability_score,acceptance_rejection_flag
58,2023-10-03 09:00:00,Emirates,AVI,AMS,JED,Good,Intact,DHL,Arabian Medical Supply,Agent,Complete,Cleared,Clear,VIP,Storm,32370,0,2,138,43,0
59,2023-10-03 10:00:00,Lufthansa,PIL,HAM,JED,Good,Tampered,Amazon Logistics,Gulf Fresh Foods,Agent,Complete,Failed,Clear,Express,Rain,4453,14,2,122,61,1
60,2023-10-03 11:00:00,Emirates,PER,HAM,JED,Average,Intact,DB Schenker,Middle East Retail Group,Corporate,Complete,Cleared,Manual Review Required,Normal,Clear,22108,2,7,81,53,0
61,2023-10-03 12:00:00,Lufthansa,PIL,JFK,JED,Good,Intact,BlueDart,Gulf Fresh Foods,Retail,Complete,Manual Inspection Required,Suspicious,Express,Fog,7557,3,7,171,50,1
62,2023-10-03 13:00:00,Lufthansa,DGR,AMS,JED,Average,Tampered,FedEx,Saudi Pharma Ltd,Corporate,Complete,Cleared,Clear,VIP,Fog,16723,13,1,136,72,0
63,2023-10-03 14:00:00,Emirates,HUM,PVG,JED,Good,Missing,FedEx,Red Sea Imports,Corporate,Pending,Cleared,Suspicious,Normal,Fog,49926,6,1,82,73,1
64,2023-10-03 15:00:00,Emirates,VAL,MAA,JED,Good,Intact,Amazon Logistics,Al Jazeera Trading,Corporate,Complete,Cleared,Clear,Normal,Clear,15254,14,9,24,54,0
65,2023-10-03 16:00:00,Lufthansa,AVI,PVG,JED,Good,Intact,DHL,Middle East Retail Group,Retail,Pending,Cleared,Suspicious,Express,Storm,2803,14,9,150,78,1
66,2023-10-03 17:00:00,Qatar,AVI,MAA,JED,Good,Broken,Maersk,Saudi Pharma Ltd,Agent,Missing,Cleared,Clear,Normal,Fog,48101,0,12,82,40,1
67,2023-10-03 18:00:00,Air India,COL,MAA,JED,Good,Intact,DB Schenker,Middle East Retail Group,Corporate,Complete,Cleared,Manual Review Required,VIP,Clear,39411,1,13,88,90,0
68,2023-10-03 19:00:00,Emirates,HUM,JFK,JED,Good,Broken,Amazon Logistics,Saudi Pharma Ltd,Retail,Complete,Cleared,Clear,Express,Clear,7505,1,0,63,41,0
69,2023-10-03 20:00:00,Air India,AVI,AMS,JED,Good,Tampered,DB Schenker,Saudi Pharma Ltd,Retail,Complete,Cleared,Manual Review Required,VIP,Fog,20803,1,2,73,90,0
70,2023-10-03 21:00:00,Qatar,COL,MXP,JED,Good,Intact,DB Schenker,Arabian Medical Supply,Corporate,Complete,Cleared,Clear,Express,Storm,2780,3,6,35,58,0
71,2023-10-03 22:00:00,Qatar,COL,AMS,JED,Good,Intact,UPS,Jeddah Electronics,Agent,Complete,Cleared,Clear,Express,Clear,1211,4,13,147,88,0
72,2023-10-03 23:00:00,Qatar,COL,DXB,JED,Average,Intact,DB Schenker,Middle East Retail Group,Retail,Complete,Cleared,Manual Review Required,Normal,Fog,3753,9,9,13,79,0
73,2023-10-04 00:00:00,Emirates,AVI,MXP,JED,Good,Intact,Maersk,Red Sea Imports,Corporate,Complete,Failed,Suspicious,Normal,Rain,39729,1,14,100,73,1
74,2023-10-04 01:00:00,Qatar,AVI,MXP,JED,Good,Intact,Maersk,Gulf Fresh Foods,Corporate,Complete,Pending,Clear,Normal,Fog,25363,13,9,16,78,0
75,2023-10-04 02:00:00,Emirates,AVI,FRA,JED,Good,Intact,Aramex,Red Sea Imports,Retail,Complete,Cleared,Suspicious,VIP,Storm,17285,9,12,67,42,1
76,2023-10-04 03:00:00,Qatar,DGR,OSL,JED,Good,Intact,UPS,Middle East Retail Group,Agent,Complete,Cleared,Manual Review Required,Normal,Clear,20039,3,4,103,86,0
77,2023-10-04 04:00:00,Air India,COL,HAM,JED,Good,Intact,BlueDart,Arabian Medical Supply,Retail,Complete,Cleared,Suspicious,Express,Rain,34224,11,11,70,74,0
78,2023-10-04 05:00:00,Air India,DGR,JFK,JED,Average,Intact,DB Schenker,Jeddah Electronics,Corporate,Complete,Failed,Clear,Express,Rain,967,3,11,32,80,0
79,2023-10-04 06:00:00,Lufthansa,VAL,DXB,JED,Damaged,Intact,UPS,Middle East Retail Group,Agent,Missing,Cleared,Clear,Express,Rain,34117,5,3,55,76,0
80,2023-10-04 07:00:00,Air India,AVI,PVG,JED,Damaged,Intact,Amazon Logistics,Saudi Pharma Ltd,Retail,Complete,Cleared,Suspicious,Normal,Fog,21260,6,14,83,55,1
81,2023-10-04 08:00:00,Lufthansa,PIL,AMS,JED,Good,Broken,Maersk,Middle East Retail Group,Agent,Complete,Cleared,Clear,Normal,Storm,42558,8,3,131,96,0
82,2023-10-04 09:00:00,Air India,HUM,MXP,JED,Average,Intact,Maersk,Arabian Medical Supply,Retail,Complete,Cleared,Clear,VIP,Storm,26422,8,4,179,51,0
83,2023-10-04 10:00:00,Emirates,PER,MXP,JED,Good,Tampered,UPS,Jeddah Electronics,Corporate,Complete,Cleared,Manual Review Required,Normal,Fog,35673,7,6,89,99,0
84,2023-10-04 11:00:00,Air India,VAL,JFK,JED,Average,Intact,DB Schenker,Red Sea Imports,Retail,Complete,Failed,Manual Review Required,Normal,Rain,16248,6,0,122,54,0
85,2023-10-04 12:00:00,Lufthansa,PIL,AMS,JED,Good,Broken,BlueDart,Gulf Fresh Foods,Agent,Complete,Cleared,Clear,VIP,Clear,20653,14,5,165,86,0
86,2023-10-04 13:00:00,Lufthansa,PER,AMS,JED,Good,Intact,Maersk,Middle East Retail Group,Agent,Complete,Cleared,Clear,VIP,Storm,16688,14,2,79,81,0
87,2023-10-04 14:00:00,Qatar,PER,PVG,JED,Good,Missing,Maersk,Red Sea Imports,Agent,Complete,Manual Inspection Required,Clear,VIP,Fog,31374,1,11,164,65,0
88,2023-10-04 15:00:00,Emirates,AVI,PVG,JED,Good,Tampered,DB Schenker,Jeddah Electronics,Corporate,Complete,Cleared,Restricted Item Detected,Normal,Rain,11246,6,13,81,68,1
89,2023-10-04 16:00:00,Air India,HUM,DXB,JED,Good,Intact,DHL,Desert Logistics,Retail,Complete,Cleared,Clear,Express,Fog,25017,13,11,164,91,0
90,2023-10-04 17:00:00,Qatar,PER,OSL,JED,Good,Intact,DHL,Arabian Medical Supply,Retail,Complete,Cleared,Clear,VIP,Clear,27843,12,7,49,84,0
91,2023-10-04 18:00:00,Air India,COL,MXP,JED,Good,Intact,BlueDart,Gulf Fresh Foods,Agent,Complete,Pending,Restricted Item Detected,Express,Storm,5294,2,14,83,71,0
92,2023-10-04 19:00:00,Air India,PIL,MXP,JED,Good,Intact,Amazon Logistics,Gulf Fresh Foods,Corporate,Complete,Cleared,Clear,VIP,Rain,22920,8,6,11,72,0
93,2023-10-04 20:00:00,Qatar,PER,AMS,JED,Good,Intact,DHL,Al Jazeera Trading,Retail,Complete,Cleared,Clear,Normal,Clear,34896,2,1,91,98,0
94,2023-10-04 21:00:00,Qatar,VAL,PVG,JED,Good,Broken,UPS,Red Sea Imports,Retail,Complete,Cleared,Clear,VIP,Rain,30039,6,3,134,47,0
95,2023-10-04 22:00:00,Qatar,HUM,FRA,JED,Damaged,Intact,Aramex,Jeddah Electronics,Corporate,Complete,Cleared,Clear,VIP,Storm,35567,12,8,149,66,0
96,2023-10-04 23:00:00,Qatar,HUM,PVG,JED,Good,Intact,Aramex,Middle East Retail Group,Corporate,Complete,Cleared,Clear,VIP,Rain,7479,10,12,132,100,0
97,2023-10-05 00:00:00,Qatar,PER,HAM,JED,Good,Intact,BlueDart,Red Sea Imports,Retail,Pending,Cleared,Clear,Normal,Fog,6188,11,6,82,64,0
98,2023-10-05 01:00:00,Air India,HUM,HAM,JED,Average,Intact,Aramex,Jeddah Electronics,Corporate,Pending,Cleared,Clear,Express,Rain,6979,2,0,33,79,0
99,2023-10-05 02:00:00,Qatar,VAL,OSL,JED,Good,Intact,BlueDart,Desert Logistics,Corporate,Pending,Cleared,Clear,Express,Clear,12030,1,12,134,83,0
100,2023-10-05 03:00:00,Emirates,PIL,DXB,JED,Good,Intact,Amazon Logistics,Middle East Retail Group,Agent,Pending,Cleared,Clear,Express,Clear,16117,3,12,75,86,0
101,2023-10-05 04:00:00,Lufthansa,VAL,FRA,JED,Good,Intact,FedEx,Jeddah Electronics,Agent,Pending,Cleared,Clear,VIP,Clear,22384,3,5,175,57,0
102,2023-10-05 05:00:00,Qatar,VAL,AMS,JED,Average,Intact,DB Schenker,Desert Logistics,Agent,Complete,Cleared,Clear,Express,Fog,43505,8,1,147,48,0
103,2023-10-05 06:00:00,Qatar,COL,DXB,JED,Good,Intact,DB Schenker,Saudi Pharma Ltd,Retail,Complete,Pending,Clear,Normal,Clear,38384,3,7,38,95,0
104,2023-10-05 07:00:00,Air India,AVI,MXP,JED,Good,Tampered,DHL,Gulf Fresh Foods,Retail,Complete,Cleared,Clear,Normal,Fog,38505,11,11,98,96,0
105,2023-10-05 08:00:00,Qatar,PER,HAM,JED,Good,Broken,DHL,Red Sea Imports,Corporate,Complete,Cleared,Suspicious,Express,Fog,18407,1,11,9,99,0
106,2023-10-05 09:00:00,Qatar,PIL,JFK,JED,Good,Intact,Amazon Logistics,Desert Logistics,Corporate,Complete,Cleared,Clear,Normal,Clear,217,8,9,108,98,0
107,2023-10-05 10:00:00,Qatar,HUM,MXP,JED,Good,Intact,DB Schenker,Red Sea Imports,Agent,Pending,Cleared,Manual Review Required,VIP,Clear,37879,11,0,179,96,0
108,2023-10-05 11:00:00,Air India,VAL,HAM,JED,Good,Broken,Amazon Logistics,Desert Logistics,Corporate,Pending,Cleared,Clear,Normal,Storm,13498,7,6,115,66,0
109,2023-10-05 12:00:00,Qatar,PER,AMS,JED,Good,Intact,UPS,Red Sea Imports,Agent,Complete,Cleared,Clear,Normal,Fog,38362,2,6,125,87,0
110,2023-10-05 13:00:00,Lufthansa,PIL,FRA,JED,Good,Intact,Maersk,Jeddah Electronics,Retail,Complete,Cleared,Clear,Express,Storm,2025,10,0,22,86,0
111,2023-10-05 14:00:00,Air India,PIL,MXP,JED,Average,Tampered,Maersk,Middle East Retail Group,Corporate,Complete,Manual Inspection Required,Clear,Normal,Storm,39818,3,9,72,75,0
112,2023-10-05 15:00:00,Lufthansa,PER,FRA,JED,Good,Tampered,Amazon Logistics,Arabian Medical Supply,Agent,Complete,Cleared,Manual Review Required,VIP,Storm,27829,10,1,20,78,0
113,2023-10-05 16:00:00,Air India,AVI,PVG,JED,Good,Intact,UPS,Arabian Medical Supply,Agent,Complete,Cleared,Clear,Normal,Storm,46193,13,12,105,83,0
114,2023-10-05 17:00:00,Qatar,COL,DXB,JED,Good,Broken,DHL,Desert Logistics,Corporate,Complete,Cleared,Restricted Item Detected,Express,Clear,47400,13,11,88,95,1
115,2023-10-05 18:00:00,Lufthansa,HUM,AMS,JED,Good,Intact,BlueDart,Red Sea Imports,Retail,Pending,Failed,Clear,Express,Storm,10747,5,7,171,44,1
116,2023-10-05 19:00:00,Air India,COL,MAA,JED,Good,Intact,Aramex,Al Jazeera Trading,Corporate,Complete,Cleared,Clear,Normal,Rain,18089,7,5,98,41,0
117,2023-10-05 20:00:00,Emirates,PIL,AMS,JED,Good,Intact,DHL,Gulf Fresh Foods,Agent,Pending,Cleared,Manual Review Required,Normal,Storm,28052,7,7,174,74,0
118,2023-10-05 21:00:00,Qatar,HUM,JFK,JED,Good,Intact,FedEx,Saudi Pharma Ltd,Agent,Complete,Cleared,Manual Review Required,Normal,Clear,39782,8,6,152,95,0
119,2023-10-05 22:00:00,Air India,PIL,MAA,JED,Good,Intact,BlueDart,Desert Logistics,Retail,Complete,Cleared,Manual Review Required,VIP,Clear,45316,3,12,39,95,0
120,2023-10-05 23:00:00,Emirates,VAL,DXB,JED,Damaged,Intact,Maersk,Middle East Retail Group,Retail,Pending,Cleared,Clear,VIP,Storm,31457,11,3,14,70,0
121,2023-10-06 00:00:00,Air India,VAL,HAM,JED,Good,Intact,Amazon Logistics,Middle East Retail Group,Agent,Complete,Cleared,Clear,VIP,Fog,31639,4,3,26,80,0
122,2023-10-06 01:00:00,Emirates,PER,AMS,JED,Good,Intact,FedEx,Red Sea Imports,Retail,Complete,Manual Inspection Required,Clear,Express,Storm,30150,5,7,175,46,0
123,2023-10-06 02:00:00,Qatar,HUM,OSL,JED,Good,Broken,Maersk,Al Jazeera Trading,Agent,Complete,Manual Inspection Required,Clear,Express,Rain,31414,7,5,144,80,1
124,2023-10-06 03:00:00,Lufthansa,HUM,PVG,JED,Average,Intact,Maersk,Jeddah Electronics,Agent,Complete,Cleared,Clear,VIP,Storm,11937,12,13,138,84,0
125,2023-10-06 04:00:00,Emirates,PIL,OSL,JED,Good,Intact,Maersk,Gulf Fresh Foods,Agent,Missing,Cleared,Clear,Express,Clear,12549,11,0,112,70,0
126,2023-10-06 05:00:00,Air India,COL,DXB,JED,Average,Intact,Aramex,Saudi Pharma Ltd,Agent,Complete,Manual Inspection Required,Clear,Normal,Rain,10434,6,10,166,64,0
127,2023-10-06 06:00:00,Qatar,VAL,MAA,JED,Good,Intact,Aramex,Desert Logistics,Retail,Pending,Cleared,Suspicious,VIP,Storm,23528,10,7,26,71,1
128,2023-10-06 07:00:00,Emirates,DGR,PVG,JED,Good,Intact,DHL,Middle East Retail Group,Agent,Complete,Cleared,Clear,Normal,Clear,10927,4,12,155,64,0
129,2023-10-06 08:00:00,Air India,PER,MAA,JED,Good,Intact,Maersk,Gulf Fresh Foods,Corporate,Complete,Cleared,Clear,Express,Clear,36686,8,2,42,72,0
130,2023-10-06 09:00:00,Air India,HUM,OSL,JED,Good,Tampered,BlueDart,Jeddah Electronics,Agent,Complete,Cleared,Manual Review Required,Normal,Clear,18475,4,6,127,57,0
131,2023-10-06 10:00:00,Air India,AVI,DXB,JED,Good,Intact,FedEx,Middle East Retail Group,Agent,Complete,Cleared,Suspicious,Express,Rain,9702,1,14,156,70,0
132,2023-10-06 11:00:00,Emirates,AVI,DXB,JED,Damaged,Intact,Amazon Logistics,Al Jazeera Trading,Agent,Complete,Cleared,Clear,VIP,Fog,28932,9,13,108,66,0
133,2023-10-06 12:00:00,Emirates,DGR,MAA,JED,Good,Intact,Maersk,Jeddah Electronics,Corporate,Complete,Failed,Manual Review Required,Normal,Storm,1435,12,14,88,56,1
134,2023-10-06 13:00:00,Emirates,VAL,HAM,JED,Good,Intact,Amazon Logistics,Arabian Medical Supply,Agent,Complete,Cleared,Clear,VIP,Fog,30958,14,9,126,60,0
135,2023-10-06 14:00:00,Lufthansa,VAL,OSL,JED,Good,Missing,Maersk,Red Sea Imports,Retail,Pending,Pending,Clear,VIP,Clear,13317,3,9,34,79,0
136,2023-10-06 15:00:00,Emirates,VAL,MAA,JED,Average,Intact,UPS,Al Jazeera Trading,Retail,Complete,Cleared,Suspicious,Normal,Rain,49231,12,1,28,64,0
137,2023-10-06 16:00:00,Emirates,COL,HAM,JED,Good,Missing,UPS,Arabian Medical Supply,Agent,Complete,Cleared,Clear,Express,Clear,28033,14,5,109,92,0
138,2023-10-06 17:00:00,Emirates,PIL,OSL,JED,Good,Broken,FedEx,Jeddah Electronics,Retail,Pending,Cleared,Clear,Normal,Fog,48885,13,1,115,45,1
139,2023-10-06 18:00:00,Lufthansa,AVI,HAM,JED,Good,Intact,DHL,Al Jazeera Trading,Retail,Complete,Cleared,Clear,Normal,Rain,2734,6,8,42,55,0
140,2023-10-06 19:00:00,Emirates,VAL,PVG,JED,Good,Intact,FedEx,Desert Logistics,Corporate,Complete,Failed,Clear,Normal,Storm,42656,13,14,28,72,0
141,2023-10-06 20:00:00,Air India,AVI,AMS,JED,Average,Intact,BlueDart,Jeddah Electronics,Corporate,Complete,Cleared,Clear,Normal,Clear,29240,7,6,50,98,0
142,2023-10-06 21:00:00,Emirates,DGR,MAA,JED,Good,Intact,Amazon Logistics,Gulf Fresh Foods,Retail,Complete,Cleared,Clear,Express,Rain,36766,2,3,151,82,0
143,2023-10-06 22:00:00,Air India,PER,MAA,JED,Good,Tampered,DB Schenker,Gulf Fresh Foods,Retail,Complete,Cleared,Clear,VIP,Rain,47806,11,10,100,49,0
144,2023-10-06 23:00:00,Air India,PIL,JFK,JED,Good,Intact,Amazon Logistics,Saudi Pharma Ltd,Agent,Complete,Manual Inspection Required,Clear,VIP,Fog,36150,0,3,73,95,0
145,2023-10-07 00:00:00,Air India,COL,PVG,JED,Good,Intact,UPS,Jeddah Electronics,Corporate,Complete,Cleared,Clear,VIP,Storm,22938,1,13,95,73,0
146,2023-10-07 01:00:00,Lufthansa,HUM,MAA,JED,Good,Broken,UPS,Arabian Medical Supply,Agent,Complete,Cleared,Clear,Express,Clear,45381,12,10,117,90,0
